"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"0.56_HEX_BACKPACK";"0.56_HEX_BACKPACK";"0.56_HEX_BACKPACK";"U2";"0.56" LED HEX Backback - Adafruit HT16K33 -";"";
"3";"1k";"R_R0603";"R0603";"R2, R3, R4";"RESISTOR, American symbol";"";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";
"1";"GRN_LED";"LED";"EIA-STD";"D1";"EIA-STD LED, LTST-C191TBKT";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U1";"";"";
"1";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"R1";"Potentiometer - Examples:";"";
"1";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"SW1";"";"";
"1";"RED_LED";"LED";"EIA-STD";"D2";"EIA-STD LED, LTST-C191TBKT";"";
"1";"SERVO_SG90";"SERVO_SG90";"SERVO-X1";"U4";"";"";
